lsoa code (2011),lsoa code (2021),IMD rank,IMD dec,income,employment,EST,health and disability,crime,barriers to housing and services,living environment
E01008704,E01008704,"7,201",3,2,2,4,1,2,10,7
E01008705,E01008705,"4,994",2,2,2,3,2,1,8,7
E01008706,E01008706,"6,315",2,3,3,4,1,1,10,9
E01008707,E01008707,"10,584",4,3,4,4,3,1,9,6
E01008708,E01008708,"7,512",3,3,3,3,1,2,8,10
E01008709,E01008709,745,1,1,1,1,1,1,7,10
E01008711,E01008711,"10,358",4,4,3,4,3,2,9,6
E01008712,E01008712,"2,402",1,1,1,2,1,2,6,10
E01008713,E01008713,"28,783",9,9,8,9,6,6,9,10
E01008714,E01008714,"1,920",1,1,1,2,1,2,8,10
E01008715,E01008715,"10,081",4,3,3,4,3,2,9,10
E01008716,E01008716,"24,415",8,8,6,8,4,6,8,10
E01008717,E01008717,"7,972",3,2,2,4,3,4,9,10
E01008718,E01008718,"8,648",3,3,2,2,2,7,9,10
E01008719,E01008719,"3,380",2,2,1,2,1,2,10,10
E01008720,E01008720,"7,225",3,3,2,4,3,1,8,9
E01008721,E01008721,"24,220",8,8,7,8,4,8,5,10
E01008722,E01008722,"28,685",9,8,7,9,6,7,10,10
E01008723,E01008723,"29,311",9,10,8,10,6,8,5,10
E01008724,E01008724,"31,678",10,9,9,8,6,10,10,10
E01008725,E01008725,"25,585",8,7,7,7,4,7,10,9
E01008726,E01008726,"22,448",7,7,6,7,3,6,10,7
E01008727,E01008727,"16,388",5,5,4,6,4,5,10,7
E01008728,E01008728,"23,826",8,7,6,9,4,6,10,9
E01008729,E01034517,"2,090",1,1,1,1,1,2,7,10
E01008730,E01008730,"1,430",1,1,1,1,1,6,8,10
E01008731,E01034517,"1,440",1,1,1,1,1,1,8,10
E01008732,E01008732,"11,231",4,3,3,4,3,5,10,10
E01008733,E01008733,"2,665",1,1,1,2,1,3,10,10
E01008734,E01008734,"22,270",7,8,6,7,4,5,9,10
E01008735,E01008735,"2,008",1,1,1,4,1,1,9,7
E01008736,E01008736,167,1,1,1,1,1,1,9,5
E01008737,E01008737,810,1,1,1,3,1,1,10,5
E01008738,E01008738,795,1,1,1,2,1,1,10,8
E01008739,E01008739,"5,751",2,2,2,2,2,2,9,10
E01008740,E01008740,"16,173",5,6,4,8,3,2,10,9
E01008741,E01008741,"14,056",5,4,4,5,3,4,9,8
E01008742,E01008742,"7,931",3,3,2,3,2,2,10,10
E01008743,E01008743,"1,264",1,1,1,1,1,5,6,10
E01008744,E01008744,"3,836",2,2,1,3,1,1,8,10
E01008745,E01008745,"18,251",6,7,5,6,3,4,8,10
E01008746,E01008746,"1,580",1,1,1,1,1,1,9,10
E01008747,E01008747,"12,762",4,3,2,5,3,9,10,10
E01008748,E01008748,"6,931",3,3,1,4,2,2,5,10
E01008749,E01008749,"22,506",7,7,7,6,5,6,6,10
E01008750,E01008750,"16,579",6,6,4,6,3,5,8,10
E01008751,E01008751,"8,771",3,4,3,2,1,4,8,10
E01008752,E01008752,"5,147",2,2,1,1,2,3,9,10
E01008753,E01008753,"6,580",3,2,2,2,2,4,10,10
E01008754,E01008754,"5,325",2,2,1,3,1,1,9,10
E01008755,E01008755,"4,212",2,2,2,1,2,1,10,9
E01008756,E01008756,"3,392",2,1,1,1,2,2,10,9
E01008757,E01008757,"5,051",2,2,2,4,1,1,10,8
E01008758,E01008758,"15,359",5,5,4,5,4,4,10,10
E01008759,E01008759,"13,357",5,4,3,6,3,4,10,7
E01008760,E01008760,"23,330",8,7,7,8,4,5,10,7
E01008761,E01008761,"22,301",7,6,6,6,5,6,10,10
E01008762,E01008762,"1,429",1,1,1,1,1,4,8,8
E01008763,E01008763,"7,535",3,2,2,3,2,5,6,10
E01008764,E01008764,"9,900",4,3,2,4,3,3,8,10
E01008765,E01008765,"20,528",7,7,4,8,4,8,5,10
E01008766,E01008766,"14,150",5,4,4,4,3,6,4,10
E01008767,E01008767,"11,870",4,4,3,3,2,6,7,10
E01008768,E01008768,"9,913",4,4,3,7,2,1,9,10
E01008769,E01008769,"5,184",2,2,1,3,2,3,10,10
E01008770,E01008770,"18,729",6,6,4,7,4,8,5,10
E01008771,E01008771,"14,320",5,4,3,5,3,9,4,10
E01008772,E01008772,"24,612",8,7,7,10,6,4,9,9
E01008773,E01008773,"2,199",1,1,1,1,1,5,9,10
E01008774,E01008774,"15,420",5,4,3,7,3,5,9,10
E01008775,E01008775,"27,813",9,9,7,9,5,10,5,10
E01008776,E01008776,"3,855",2,1,1,2,2,2,9,10
E01008777,E01008777,"1,436",1,1,1,2,1,3,9,10
E01008778,E01008778,"10,402",4,3,3,3,3,4,10,10
E01008779,E01008779,"10,221",4,3,3,4,2,3,9,10
E01008780,E01008780,"6,349",2,2,1,4,1,5,6,10
E01008781,E01008781,"20,581",7,7,4,9,5,3,10,8
E01008782,E01008782,"26,943",9,9,7,10,5,6,7,10
E01008783,E01008783,"25,827",8,8,6,10,6,5,10,10
E01008784,E01008784,"29,155",9,10,8,9,6,5,9,10
E01008785,E01008785,"23,589",8,8,6,9,4,7,6,10
E01008786,E01008786,"22,453",7,6,6,7,5,5,9,8
E01008787,E01008787,"14,557",5,5,5,5,4,2,10,7
E01008788,E01008788,"15,393",5,4,4,5,3,5,10,8
E01008789,E01008789,"20,418",7,7,5,8,3,5,8,10
E01008790,E01008790,"13,390",5,4,4,6,3,3,10,7
E01008791,E01008791,"4,705",2,2,2,3,1,2,8,7
E01008792,E01008792,"18,780",6,7,4,9,3,5,8,10
